sample_idx,file_idx,frame_idx,file_name,minio_path
24,0,24,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000024
29,0,29,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000029
34,0,34,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000034
39,0,39,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000039
44,0,44,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000044
49,0,49,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000049
54,0,54,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000054
59,0,59,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000059
64,0,64,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000064
69,0,69,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000069
74,0,74,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000074
79,0,79,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000079
84,0,84,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000084
89,0,89,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000089
94,0,94,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000094
99,0,99,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000099
104,0,104,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000104
109,0,109,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000109
114,0,114,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000114
119,0,119,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000119
124,0,124,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000124
129,0,129,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000129
134,0,134,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000134
139,0,139,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000139
144,0,144,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000144
149,0,149,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000149
154,0,154,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000154
159,0,159,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000159
164,0,164,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000164
169,0,169,segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord,training/semseg/0000169
1025,1,25,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001025
1030,1,30,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001030
1035,1,35,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001035
1040,1,40,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001040
1045,1,45,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001045
1050,1,50,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001050
1055,1,55,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001055
1060,1,60,segment-10023947602400723454_1120_000_1140_000_with_camera_labels.tfrecord,training/semseg/0001060
